entityId,TTrvD,TTrvAS,x_center,y_center,radius,numStayPointsVisits,avgTimeVisit,num_travels,avg_travel_time,avg_travel_distance,avg_travel_avg_speed
100,12135.98971,1.5559,433679.53197,6465444.55716,3549.09817,3,2181.3333333333335,17,39.0,0.0,0.0
101,20283.18366,2.60041,435157.66246,6466085.65137,3021.75994,3,1830.6666666666667,17,39.0,194.85013388170017,2.0046350185682718
102,20541.83406,2.63357,439193.02868,6460428.84897,6352.76117,3,1818.0,17,38.64705882352941,267.2654592614985,6.268655856114074
103,16617.71534,2.13048,434331.37382,6463721.12836,5144.17614,3,2036.3333333333333,17,38.64705882352941,0.0,0.0
104,24825.67988,3.18278,437685.4989,6458519.5574,7158.22087,5,895.0,17,38.529411764705884,275.4426343618886,6.29634711227471
105,24841.68201,3.18483,437727.83561,6458531.30133,7215.2854,5,892.2,17,38.529411764705884,268.64620180750217,6.233989717650753
106,31443.60033,4.03123,434448.67978,6463738.67984,10078.98347,2,2335.5,17,38.529411764705884,12.422893940923025,1.1766471459069985
107,31419.52555,4.02814,434482.07778,6463763.62869,10137.6602,2,2339.0,17,38.529411764705884,12.455172093908628,1.182275835411884
108,26409.36111,3.38582,438523.35772,6457938.83218,7019.49046,4,1038.25,17,38.529411764705884,283.9077546317025,5.855757919050748
109,22642.27212,2.90286,437359.71034,6460039.87331,7363.7654,7,704.0,16,39.8125,79.86214600005205,4.427266366589723
110,31197.4967,3.99968,434898.11866,6463965.85733,8377.92411,9,503.3333333333333,16,39.8125,16.972832968491378,1.8856188375831575
111,26603.48191,3.4107,437372.6657,6458692.27348,6712.62472,11,361.6363636363636,16,38.625,291.3514726591725,6.09394564078258
112,26660.92249,3.41807,437381.64518,6458728.73671,6749.9137,10,394.3,16,38.625,293.544299065936,6.2347694224428585
113,26832.51572,3.44007,437355.92421,6458750.32973,6785.92256,13,303.2307692307692,15,40.266666666666666,313.9891098780132,6.5413242264002935
114,26870.28559,3.44491,437343.31507,6458762.34923,6812.06601,8,479.75,15,40.266666666666666,316.8757096477332,6.5173036688787205
115,30454.95883,3.90448,434625.70978,6463708.79185,8716.52808,9,477.22222222222223,15,40.266666666666666,11.999045641350806,1.6919921621851606
116,30195.05923,3.87116,434646.22331,6463843.70489,8751.25688,10,432.7,15,40.266666666666666,12.377329268630982,1.7870673500866852
117,30192.93527,3.87089,434647.37514,6463976.85136,8821.44314,10,435.6,15,40.266666666666666,11.937516560812677,1.742032978394107
118,30352.70233,3.89137,434680.41163,6463871.31208,8829.50845,10,432.8,15,40.266666666666666,11.789928108304473,1.7375620902166378
119,25637.69406,3.28688,436573.72266,6461499.64144,7446.205,17,276.5882352941176,14,43.07142857142857,92.19665761868816,4.052944903481951
120,25424.43528,3.25954,436631.6924,6461346.23248,7526.37649,19,250.05263157894737,14,43.07142857142857,92.8316965004419,3.8154771956824827
121,25423.1488,3.25938,436656.94105,6461251.80506,7617.83884,24,200.20833333333334,13,46.30769230769231,102.09573940076612,4.134936062099409
122,25498.21789,3.269,436752.60143,6461111.64598,7452.79609,23,208.2173913043478,13,43.23076923076923,92.13050223668769,4.033572859725733
123,25835.57751,3.31225,436766.76626,6461030.51446,7382.14192,21,228.9047619047619,13,43.23076923076923,96.12101343299976,4.161730215368096
124,25816.49889,3.30981,436893.38005,6460685.18955,7437.22373,22,221.0909090909091,13,43.23076923076923,101.93646733269216,4.057317347728028
125,26072.43722,3.34262,436733.43242,6461113.47502,7347.94253,22,217.13636363636363,13,43.23076923076923,92.75792808418811,4.39724530948842
126,25631.86913,3.28614,436855.87165,6460780.71122,7482.10054,24,202.29166666666666,13,43.23076923076923,101.5483267108974,4.368752112992582
127,25483.71979,3.26714,436791.84798,6460904.92828,7576.45074,24,202.16666666666666,13,43.23076923076923,100.63961174943526,4.3076683867463
128,25445.35272,3.26222,436686.41775,6461226.10334,7495.29903,20,241.7,12,46.75,105.51689116375377,4.244365892502227
129,36799.89118,4.71793,433694.02589,6467009.43189,10446.11237,14,251.92857142857142,20,29.3,7.553445734469998,1.2230007088204362
130,36810.02876,4.71923,433678.79372,6467116.95633,10430.36725,14,253.0,13,43.23076923076923,11.25721426957313,1.7610677968858561
131,36866.61689,4.72649,433689.33288,6467362.19004,10354.23126,14,250.92857142857142,14,40.214285714285715,9.966002784209232,1.6025205162494713
132,36780.32626,4.71543,433625.55957,6467435.92008,10312.72285,12,293.5,14,40.214285714285715,10.7137371661647,1.9530442999897362
133,36763.21249,4.71323,433611.83835,6467257.94711,10376.31332,12,293.0833333333333,15,37.6,9.283219870549015,1.5259449011518231
134,36840.64238,4.72316,433593.76549,6467864.95712,10190.80542,11,315.90909090909093,15,37.6,9.673332953478736,2.224546686017106
135,36799.81064,4.71792,433604.28001,6467777.79236,10210.11932,10,348.7,15,37.6,10.279377593355429,2.1923545885058755
136,36883.80991,4.72869,433662.6459,6467553.03607,10312.85386,12,291.25,15,37.6,9.95471250150109,2.4677407619219167
